Time,CW_change_mm,UHSLCFD_change_mm
1959-01-16,-68.7140625,
1959-04-16,-73.1140625,
1959-07-16,-70.2140625,
1959-10-16,-69.9140625,
1960-01-16,-70.3807291667,
1960-04-16,-66.4807291667,
1960-07-16,-66.8807291667,
1960-10-16,-67.5807291667,
1961-01-16,-60.2473958333,
1961-04-16,-56.2473958333,
1961-07-16,-60.7473958333,
1961-10-16,-65.6473958333,
1962-01-16,-66.6807291667,
1962-04-16,-67.6140625,
1962-07-16,-68.0473958333,
1962-10-16,-63.4140625,
1963-01-16,-63.8807291667,
1963-04-16,-65.5140625,
1963-07-16,-69.9140625,
1963-10-16,-69.0140625,
1964-01-16,-77.9473958333,
1964-04-16,-81.9473958333,
1964-07-16,-70.9807291667,
1964-10-16,-73.1140625,
1965-01-16,-66.1807291667,
1965-04-16,-67.0473958333,
1965-07-16,-66.3140625,
1965-10-16,-60.7473958333,
1966-01-16,-64.2807291667,
1966-04-16,-70.0807291667,
1966-07-16,-70.4807291667,
1966-10-16,-71.6807291667,
1967-01-16,-72.9140625,
1967-04-16,-73.8473958333,
1967-07-16,-66.4473958333,
1967-10-16,-63.9473958333,
1968-01-16,-63.4807291667,
1968-04-16,-75.4807291667,
1968-07-16,-72.8140625,
1968-10-16,-60.0140625,
1969-01-16,-59.7140625,
1969-04-16,-60.3140625,
1969-07-16,-62.6140625,
1969-10-16,-60.3473958333,
1970-01-16,-61.5140625,-59.9798236807
1970-04-16,-63.1140625,-66.4528128329
1970-07-16,-64.7473958333,-65.2441578034
1970-10-16,-62.8140625,-59.8378256754
1971-01-16,-57.4807291667,-54.5695660793
1971-04-16,-55.3473958333,-55.3665856183
1971-07-16,-60.4807291667,-59.1262640263
1971-10-16,-57.0807291667,-58.7956350882
1972-01-16,-56.5140625,-54.8677138879
1972-04-16,-47.0807291667,-48.4633478322
1972-07-16,-43.7140625,-46.3767903343
1972-10-16,-49.7473958333,-49.1037523295
1973-01-16,-54.6807291667,-53.1007082507
1973-04-16,-56.2807291667,-61.0642089189
1973-07-16,-56.7473958333,-66.9894684427
1973-10-16,-53.1807291667,-63.0355945158
1974-01-16,-40.1807291667,-53.83710699
1974-04-16,-40.4807291667,-47.4182687816
1974-07-16,-43.1807291667,-45.3179837604
1974-10-16,-46.0473958333,-45.1685008369
1975-01-16,-43.9473958333,-42.6016465885
1975-04-16,-42.9140625,-42.7514691821
1975-07-16,-45.8473958333,-49.1680109373
1975-10-16,-43.7473958333,-55.4830482136
1976-01-16,-46.6807291667,-55.8892492551
1976-04-16,-46.2807291667,-50.1540983536
1976-07-16,-44.7473958333,-46.2148137285
1976-10-16,-44.4140625,-47.5576137607
1977-01-16,-44.2473958333,-52.3106721377
1977-04-16,-49.6140625,-55.917752364
1977-07-16,-48.5140625,-55.6319427265
1977-10-16,-45.5473958333,-53.3771604546
1978-01-16,-38.2473958333,-51.5281691118
1978-04-16,-37.3473958333,-52.5097023691
1978-07-16,-41.8140625,-54.1381941239
1978-10-16,-42.2140625,-57.9209728064
1979-01-16,-49.6140625,-61.6160168217
1979-04-16,-49.3807291667,-59.1713693947
1979-07-16,-46.8140625,-56.2486645672
1979-10-16,-39.3807291667,-52.8834194054
1980-01-16,-37.6807291667,-49.1328826572
1980-04-16,-38.9140625,-49.3606563197
1980-07-16,-41.8807291667,-48.4948823717
1980-10-16,-40.9807291667,-43.3185756139
1981-01-16,-31.0807291667,-38.2783970414
1981-04-16,-26.8140625,-37.4179532816
1981-07-16,-25.9807291667,-36.9439757389
1981-10-16,-25.9140625,-35.03649125
1982-01-16,-30.2140625,-36.0025680359
1982-04-16,-35.3140625,-38.1730990465
1982-07-16,-37.8807291667,-35.7499632095
1982-10-16,-28.6140625,-31.2269361874
1983-01-16,-23.5473958333,-29.9239365434
1983-04-16,-18.6140625,-32.2244714139
1983-07-16,-22.2807291667,-35.519994997
1983-10-16,-30.6473958333,-36.5986774265
1984-01-16,-30.4807291667,-37.3489142818
1984-04-16,-25.0473958333,-37.2440860621
1984-07-16,-21.7140625,-35.9577880287
1984-10-16,-24.8140625,-37.4107175307
1985-01-16,-31.6807291667,-41.1959337756
1985-04-16,-35.2140625,-40.7627094162
1985-07-16,-36.9807291667,-36.2062680491
1985-10-16,-36.5807291667,-35.7375490583
1986-01-16,-33.8140625,-38.2119852607
1986-04-16,-33.7807291667,-37.8984016524
1986-07-16,-35.1807291667,-36.2741659122
1986-10-16,-36.8140625,-34.211963581
1987-01-16,-33.8473958333,-31.0567629839
1987-04-16,-34.2807291667,-31.9830832503
